rank,code,name,market,sector,market_cap,Growth,Value,Quality,Trend,Risk,Total,sector_peer_count,as_of_date,generated_at,market_data_source,data_grade,financial_years,dart_source_rcept_dt,dart_source_rcept_no
1,095610,테스,KOSDAQ,전기·전자,1798544000000,96.44,86.33,73.9,64.75,35.72,80.35,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250314|20260313,20240315000574|20250314001042|20260313000585
2,064350,현대로템,KOSPI,운수장비,24338731339000,84.72,53.33,86.11,66.67,45.29,72.71,9,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250321|20260319,20240320000873|20250321001612|20260319001275
3,000810,삼성화재,KOSPI,보험업,22279089027000,86.67,65.0,85.83,50.0,54.88,71.88,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240429|20250328,20240429000782|20250328001868
4,004800,효성,KOSPI,기타,4402727041000,71.01,61.53,67.04,86.6,31.26,71.55,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250313|20260312,20240315000695|20250313001006|20260312000976
5,005830,DB손해보험,KOSPI,보험업,10781357445400,71.67,81.67,74.17,58.33,66.99,71.46,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240430|20250814,20240430000990|20250814003767
6,028260,삼성물산,KOSPI,건설업,68516394472500,83.0,63.75,84.0,55.0,44.11,71.44,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240329|20250814|20260312,20240329002523|20250814002350|20260312000856
7,086280,현대글로비스,KOSPI,운수·창고업,18825000000000,77.5,45.0,81.25,80.0,54.66,70.94,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2025,20240319|20260318,20240319000815|20260318001205
8,028050,삼성E&A,KOSPI,건설업,12230400000000,55.75,63.0,86.0,78.0,61.48,70.69,5,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240329|20250814|20260311,20240329003421|20250814003670|20260311003927
9,237690,에스티팜,KOSDAQ GLOBAL,의약품,3252276612000,72.81,59.79,67.66,76.22,62.59,69.12,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240315|20250814|20260318,20240315000818|20250814002070|20260318001605
10,071970,HD현대마린엔진,KOSPI,기타,3215757726000,91.2,36.19,84.26,64.11,46.36,68.94,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240411|20250317|20260316,20240411003898|20250317000801|20260316001327
11,023590,다우기술,KOSPI,기타,2090777169600,83.14,87.66,63.18,41.55,44.62,68.88,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320001719|20250318001202|20260318001606
12,002380,KCC,KOSPI,기타,5385201426000,67.79,87.55,49.71,68.11,41.52,68.29,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240327|20250313|20260309,20240327001177|20250313001099|20260309001896
13,131290,티에스이,KOSDAQ,전기·전자,1932431646300,75.29,74.24,61.53,60.93,52.43,68.0,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240319|20250319|20260318,20240319000734|20250319000741|20260318000738
14,003230,삼양식품,KOSPI,음식료품,10244900400000,75.0,20.0,100.0,76.67,52.95,67.92,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320001358|20250318001186|20260318001082
15,047050,포스코인터내셔널,KOSPI,철강·금속,13721977464000,72.5,67.5,70.0,61.25,62.71,67.81,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240329|20250314|20260318,20240329001908|20250314001718|20260318001494
16,012450,한화에어로스페이스,KOSPI,운수장비,67393365107000,80.83,63.33,66.11,60.0,57.63,67.57,9,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024,20240329|20250317,20240329000902|20250317000990
17,009540,HD한국조선해양,KOSPI,기계,31989448432000,64.72,89.44,73.06,42.78,53.57,67.5,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250318|20260320,20240321000061|20250318001131|20260320001032
18,031980,피에스케이홀딩스,KOSDAQ,전기·전자,2680205698500,49.95,84.65,87.88,44.41,41.43,66.72,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250321|20260320,20240321001868|20250321001638|20260320000819
19,033100,제룡전기,KOSDAQ,우량기업부,1410279510200,45.0,60.0,90.0,71.67,36.28,66.67,3,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250317|20260316,20240318000327|20250317000538|20260316000509
20,005930,삼성전자,KOSPI,전기·전자,1569725806248000,63.54,79.51,65.59,57.97,47.78,66.65,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240312|20250311|20260310,20240312000736|20250311001085|20260310002820
21,080220,제주반도체,KOSDAQ,전기·전자,1884022965100,86.08,49.18,72.12,57.12,27.73,66.12,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240328|20250318|20260323,20240328001541|20250318001359|20260323001029
22,086790,하나금융지주,KOSPI,은행,34707520122000,59.17,70.0,50.0,85.0,70.29,66.04,6,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240516|20250317|20260316,20240516001695|20250317000894|20260316001292
23,257720,실리콘투,KOSDAQ,서비스업,2755794455400,86.52,54.12,58.57,62.86,40.87,65.52,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250408|20260320,20240320000377|20250408002625|20260320001024
24,095340,ISC,KOSDAQ GLOBAL,전기·전자,5373454203000,75.75,41.08,79.66,61.78,44.55,64.57,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250317|20260318,20240320001457|20250317000044|20260318000018
25,145020,휴젤,KOSDAQ GLOBAL,의약품,3586625619500,49.97,66.5,88.58,53.2,43.62,64.56,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240321|20250321|20260320,20240321001843|20250321000621|20260320000349
26,039200,오스코텍,KOSDAQ,의약품,1951166976000,73.0,36.02,92.4,56.79,49.54,64.55,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240318|20250319|20260319,20240318000560|20250319000506|20260319001005
27,103590,일진전기,KOSPI,기타,6871464699000,87.66,17.25,64.13,89.02,44.0,64.52,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240313|20250312|20260311,20240313001767|20250312000485|20260311004216
28,329180,HD현대중공업,KOSPI,기계,69064486050000,71.11,74.41,62.22,50.28,50.52,64.5,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260320,20240318000459|20250318000897|20260320000859
29,267260,HD현대일렉트릭,KOSPI,전기·전자,50574130405000,74.05,43.79,73.47,66.44,47.15,64.44,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250320|20260316,20240318000722|20250320001309|20260316000940
30,443060,HD현대마린솔루션,KOSPI,기계,10782447130000,57.36,56.18,92.78,50.83,45.84,64.29,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2024|2025,20250509|20260316,20250509000499|20260316001512
31,001450,현대해상,KOSPI,기타,2646958162500,83.98,79.35,64.58,29.14,64.81,64.26,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240314|20250407|20260312,20240314001515|20250407001731|20260312001448
32,000990,DB하이텍,KOSPI,기타,7313121242800,68.67,18.77,80.57,88.57,41.3,64.14,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240327|20250313|20260316,20240327001130|20250312001130|20260316001250
33,003490,대한항공,KOSPI,운수·창고업,9960368880050,85.0,48.75,43.75,77.5,64.29,63.75,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240313|20250318|20260318,20240313001650|20250318001334|20260318001125
34,083650,비에이치아이,KOSDAQ,기계,2930432312500,89.17,41.54,70.0,54.17,39.79,63.72,18,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240308|20250314|20260320,20240308000752|20250314001420|20260320000821
35,229640,LS에코에너지,KOSPI,기타,2759301597900,79.1,24.75,69.79,80.27,45.24,63.48,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240319|20250318|20260316,20240319000759|20250318000837|20260316001365
36,041510,에스엠,KOSDAQ GLOBAL,서비스업,2110890418000,76.16,84.42,69.67,21.79,47.03,63.01,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240322|20250718|20260317,20240322000886|20250718000170|20260317000781
37,402340,SK스퀘어,KOSPI,서비스업,144890307828000,35.36,31.43,96.32,88.57,24.31,62.92,14,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,B,2023|2024|2025,20240419|20250319|20260317,20240419000675|20250319001044|20260317000830
38,000240,한국앤컴퍼니,KOSPI,기타,2382874524000,54.28,86.52,82.0,28.34,49.77,62.78,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240320|20250318|20260318,20240320001601|20250318000944|20260318000997
39,011200,HMM,KOSPI,운수·창고업,19430702182000,55.0,75.0,81.25,38.75,66.47,62.5,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240328|20250318|20260318,20240328001188|20250318000828|20260318001444
40,000660,SK하이닉스,KOSPI,전기·전자,1201616187390000,62.12,43.35,80.25,63.05,34.5,62.19,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240319|20250319|20260317,20240319000684|20250319000665|20260317000635
41,105560,KB금융,KOSPI,은행,60289918573500,56.67,52.5,63.33,75.83,70.07,62.08,6,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240326|20260324|20260324,20240326000894|20260324000822|20260324000835
42,161890,한국콜마,KOSPI,기타,2209435207200,76.11,50.81,62.06,59.21,50.37,62.05,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250318|20260318,20240321001772|20250318001173|20260318001196
43,036830,솔브레인홀딩스,KOSDAQ GLOBAL,전기·전자,1361464338400,55.69,73.04,74.15,45.17,34.07,62.01,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260318,20240318000823|20250318001278|20260318001251
44,010130,고려아연,KOSPI,철강·금속,32540958671000,75.62,45.0,86.25,40.0,38.43,61.72,4,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2022|2023|2024,20230309|20240328|20250331,20230309000731|20240328001400|20250331003521
45,183300,코미코,KOSDAQ GLOBAL,전기·전자,1563872258000,58.95,74.81,61.69,50.0,35.81,61.36,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240321|20250321|20260323,20240321000669|20250321000403|20260323001516
46,068270,셀트리온,KOSPI,의약품,44032550982400,56.41,56.02,73.11,59.19,66.64,61.18,33,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250317|20260316,20240318000913|20250317000929|20260316001415
47,014680,한솔케미칼,KOSPI,기타,3251875770000,68.22,32.85,81.93,61.1,52.69,61.02,113,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240312|20250310|20260318,20240312000921|20250310000865|20260318001424
48,058470,리노공업,KOSDAQ GLOBAL,전기·전자,8581454310000,58.48,36.82,94.75,53.73,50.49,60.94,59,2026-05-08,2026-05-09T20:43:20,naver_current_fallback,A,2023|2024|2025,20240318|20250318|20260318,20240318000177|20250318000229|20260318000182
